timestamp,symbol,open,high,low,close,volume
2024-01-01T00:00:00,BTC/USDT,41518.24,41559.76,41435.21,41393.69,1001
2024-01-01T00:00:00,ETH/USDT,2284.06,2286.35,2268.07,2288.63,7425
2024-01-01T01:00:00,BTC/USDT,41916.82,42084.48,41623.4,42042.57,1657
2024-01-01T01:00:00,ETH/USDT,2293.2,2295.49,2279.44,2304.66,9830
2024-01-01T02:00:00,BTC/USDT,41443.16,41484.6,41401.71,41608.93,809
2024-01-01T02:00:00,ETH/USDT,2306.04,2322.18,2303.73,2292.2,9906
2024-01-01T03:00:00,BTC/USDT,41480.46,41729.34,41438.98,41314.53,1695
2024-01-01T03:00:00,ETH/USDT,2301.43,2317.54,2285.32,2287.62,10276
2024-01-01T04:00:00,BTC/USDT,41721.04,42013.09,41679.32,41846.21,1638
2024-01-01T04:00:00,ETH/USDT,2336.64,2357.67,2327.29,2324.96,5634
2024-01-01T05:00:00,BTC/USDT,41337.21,41543.9,41089.19,41419.88,1394
2024-01-01T05:00:00,ETH/USDT,2294.35,2310.41,2278.29,2289.76,14729
2024-01-01T06:00:00,BTC/USDT,41940.73,42108.5,41898.79,42066.55,1974
2024-01-01T06:00:00,ETH/USDT,2303.52,2305.83,2287.4,2296.61,5905
2024-01-01T07:00:00,BTC/USDT,41412.28,41453.69,41205.22,41205.22,1099
2024-01-01T07:00:00,ETH/USDT,2287.63,2301.35,2271.62,2289.92,9171
2024-01-01T08:00:00,BTC/USDT,40882.2,41004.85,40800.44,40677.79,985
2024-01-01T08:00:00,ETH/USDT,2262.01,2264.27,2243.91,2273.32,5175
2024-01-01T09:00:00,BTC/USDT,40412.06,40452.47,40169.58,40573.71,1996
2024-01-01T09:00:00,ETH/USDT,2221.52,2234.85,2217.07,2210.41,6613
2024-01-01T10:00:00,BTC/USDT,40662.61,40743.94,40621.95,40703.27,1203
2024-01-01T10:00:00,ETH/USDT,2190.64,2203.78,2188.45,2181.88,11899
2024-01-01T11:00:00,BTC/USDT,40158.4,40399.35,39917.44,40238.71,1169
2024-01-01T11:00:00,ETH/USDT,2215.83,2229.13,2198.1,2211.4,13620
2024-01-01T12:00:00,BTC/USDT,39608.23,39647.83,39449.79,39568.62,1746
2024-01-01T12:00:00,ETH/USDT,2174.39,2183.09,2165.7,2170.05,10266
2024-01-01T13:00:00,BTC/USDT,39647.83,39885.72,39608.19,39449.59,1888
2024-01-01T13:00:00,ETH/USDT,2152.22,2165.13,2150.06,2152.22,13541
2024-01-01T14:00:00,BTC/USDT,39366.33,39484.43,39248.23,39405.7,1471
2024-01-01T14:00:00,ETH/USDT,2172.66,2179.18,2155.28,2161.8,10755
2024-01-01T15:00:00,BTC/USDT,39775.74,40054.17,39616.64,39696.19,1934
2024-01-01T15:00:00,ETH/USDT,2204.17,2217.39,2201.96,2204.17,13283
2024-01-01T16:00:00,BTC/USDT,40352.49,40433.2,40110.38,40473.55,1523
2024-01-01T16:00:00,ETH/USDT,2217.17,2232.69,2203.87,2214.95,9367
2024-01-01T17:00:00,BTC/USDT,40150.73,40271.18,40070.43,40190.88,1309
2024-01-01T17:00:00,ETH/USDT,2174.16,2191.55,2161.11,2167.63,13935
2024-01-01T18:00:00,BTC/USDT,40166.79,40247.12,40006.12,40206.96,1664
2024-01-01T18:00:00,ETH/USDT,2145.68,2149.97,2130.66,2132.8,14271
2024-01-01T19:00:00,BTC/USDT,40664.86,40868.18,40380.2,40583.53,1379
2024-01-01T19:00:00,ETH/USDT,2107.91,2112.13,2105.8,2101.59,5522
2024-01-01T20:00:00,BTC/USDT,40599.79,40843.39,40356.2,40396.8,1508
2024-01-01T20:00:00,ETH/USDT,2131.52,2135.78,2127.26,2140.05,6540
2024-01-01T21:00:00,BTC/USDT,40197.86,40479.24,40037.06,39996.87,1071
2024-01-01T21:00:00,ETH/USDT,2153.26,2155.42,2146.8,2142.5,13922
2024-01-01T22:00:00,BTC/USDT,40627.97,40790.49,40343.58,40627.97,1536
2024-01-01T22:00:00,ETH/USDT,2123.98,2132.47,2117.61,2115.48,9465
